Name,Description
Google Calendar REST API v3,The Calendar Data API lets users perform most of the operations a normal Google Calendar user can on the Google Calendar website  Google Calendar allows client applications to view and update calendar events in the form of Google data API  GData  feeds  The Calendar Data API lets users incorporate Calendar functionality into their own application or website  Users can edit calendars  create and delete events  query for events that match particular criteria  send invitations  and more  There are many possible uses for the Calendar data API  For example  users can create a web front end for a group calendar that uses Google Calendar as a back end  Or a public calendar can be generated for Google Calendar to display  based on a company event database  Or users can search relevant calendars to display a list of upcoming events on those calendars 
Hebcal Hebrew Date Converter,Hebcal is a Jewish calendar and holiday web site  The Hebrew Date Converter API allows developers to the tool that converts between Gregorian and Hebrew dates  Developers will be able to integrate this feature into their applications  Two supported output formats are JSON and XML 
Hebcal Jewish Calendar,Hebcal is a Jewish calendar and holiday web site  Jewish Calendar REST API provided on this website enables developers to integrate it into their applications  With this API  they will be able to request and get information on Jewish holiday information  The parameters used for the searches are customizable 
Holiday REST API v1.0,The Holiday API is a simple web service aiming to provide free programmatic information about holidays worldwide  The API is operational  but is currently building its catalog of country lists  The Holiday API accepts GET requests specifying a country and year  with the option to specify a month or day 
HubSpot Calendar,The Hub Spot Calendar API allows developers to create  get  update  and delete tasks on their calendars  The API can also list content events  social events  task events  or all events combined  Hub Spot provides a stack of products that include customer relationship management  marketing  and sales services 
Idescat Advance Release Calendar,The Statistical Institute of Catalonia produces official statistics in the fields of the economy  demography and society  Idescat exposes some of its data via a collection of REST APIs  Idescat s APIs offer methods for third party programs to be able to obtain information from the Statistical Institute of Catalonia and integrate it in other services  This API lets users access information from Idescat s Advance Release Calendar  The calendar shows the publication dates of Idescat s statistical production  The dissemination dates offered by this API allow users to minimize the number of requests and to make use of the rest of Idescat s APIs  It uses RESTful calls and responses are formatted in XML  JSON  PHP and i Cal 
InfoPark Web Calendar,The service from German web hosting provider Info Park provides ability to update the hosted event calendar listings it offers with its service package  Site owners using the platform can maintain calendars of events  appointments  and other time sensitive listings as separate elements or embedded within other parts of their online environments  API methods support creating and updating event calendar listings and retrieval of listing data for display or other processing  Methods allow synchronization of listings with other systems so events configured there create listings within the online event calendar 
Kloudless Universal Calendar REST API v1.0,The Kloudless Universal Calendar API is used for file storage services and allows you to add multiple software services to your app  This includes  Storage  calendar events and more  It uses Connectors as a service to integrate with the Calendar API  Kloudless handles the behind the scenes integration work for supported Connectors  so that you can focus on building experiences for your customers 
LiveConnect,Live Connect lets developers build apps and web sites that can connect with Hotmail  Sky Drive and Windows Live Messenger  The API can work with Hotmail to allow users to access  create and update contacts and calendars  Users can access and work with any media stored in Sky Drive and they can connect with Messenger to enable real time chat  The API uses RESTful calls and responses are formatted in JSON 
MakePlans,Make Plans is an online scheduling and appointment setting service  Make Plans can be integrated into websites so people can make appointments online through the website and receive email confirmations  The Make Plans API allows developers to access and integrate the functionality of Make Plans into other sites and applications  Some example API methods include retrieving lists of appointments  setting appointments  and accessing account information 
MINDBODY RPC API,MINDBODY is a business management service that started out as a simple management solution for yoga  pilates  and spinning studios and became a recognized company in more than a dozen personal service markets  MINDBODY offeres its business management services as an online platform and an API for its clients to use  The MINDBODY API is a SOAP based API for allowing 3 rd parties to programmatically access MINDBODY Online business logic and data 
My School Holidays,My School Holidays by Primary Technology is a website application that displays school holidays by country  state  school name  and school district  Users can browse holidays or search for holidays  The My School Holidays API allows developers to access and integrate the functionality and data of My School Holidays with other applications and to create new applications  Some example API methods include searching for holidays by date  returning holidays for the current date  and retrieving all holidays for a specific school 
Newcastle Public Schools Workspace Calendar RPC API,The Newcastle Public Schools website hosts information on the school district of Newcastle  Oklahoma  Among other things  the site provides a calendar of all of the major school events for the year  This calendar can be accessed directly through the website or programmatically via SOAP API  Users can employ the API to retrieve or export events from the calendar 
Notely,From their site  Studies show that today s students learn best when they are actively engaged by the learning process  Notely makes note taking a breeze by helping students organise information in a cycle  Students can capture  organise  and share notes in a way that increases interactivity  learning and retention  Feature list includes calendar  to do list  homework organiser  manage courses  write and save notes  organise links  contacts  files  and keep a notebook or lab book 
Office 365 Calendar,The Office 365 Calendar API allows full access to a user s calendar groups  calendars  and events  with associated metadata  Developers can implement the API to programmatically check for events and schedule new ones  In order to access the Office 365 APIs  developers must first register their apps with Microsoft  All APIs use JSON with the Auth 0 protocol for authentication  and Azure AD for authorization 
Office 365 Sync a Calendar View,The Office 365 Sync a Calendar View API allows developers to integrate their applications with the Microsoft Office 365 Calendar Sync feature  enabling their users to synchronize   get new  updated  or deleted events in a specified time range from the user s primary calendar  This API is RESTful 
OSU Calendar Web Service RPC API,The Oklahoma State University  OSU  website hosts a number of useful features  one of which is the Calendar Web Service API  This service enables users to programmatically retrieve scheduled OSU events  Users can retrieve all events occurring between two given dates  which can be up to 999 days apart  This API uses SOAP calls issued in XML format 
Recollect,Recollect  originally Van Trash  is a garbage and recycling collection reminder service  The service allows users to get reminders about taking the garbage and recycling out  Reminders can come as texts  emails  phone calls  or tweets  The Recollect API allows users to retrieve data from Recollect  While the API is still under development  Beta  and evolving  current functions include searching for areas in Recollect  accessing area data  listing zones in Recollect  and accessing zone data 
ReminderDrop NLP,Reminder Drop is a natural language processing  NLP  reminder and event scheduling API  Developers can make apps and web sites more user friendly by allowing users to schedule events and reminders using naturally spoken language  With voice control features  more users find it helpful to be able to do basic data entry  such as date and time  using natural language 
Riverside Township High School Workspace Calendar RPC API,The Riverside Township High School located in Riverside  New Jersey has a website that  among other things  provides a calendar that covers all of the major school events for the year  This calendar can be accessed directly on the website or programmatically via SOAP API  Users can employ the API to retrieve or export events from the calendar 
Sapo Holiday RPC API,SAPO is a Portuguese Internet service provider whose main web site acts as a web portal featuring a directory of Portuguese sites  SAPO Services provides a large suite of web services and applications to developers worldwide  The Holiday API returns a list of Portuguese national  regional and municipal holidays for a specified year  Users can search for specific hoidays including Easter  Carnival and Good Friday  Holidays can be returned for all years between 1582 and 2299  The API uses SOAP protocol and responses are formatted in XML 
Schedjoules Calendar,Schedjoules is an in app calendar store that has over 180 000 public calendars that include sports  finance  holidays  and other scheduled events  The Schedjoules API provides users access to the Sched Joules Public Calendar Library  Providing calendars in 40 languages  users can use the API to integrate calendars into applications to further monetizing services  Am account is required with service  The API uses REST calls  returns JSON  and uses SSL and API Keys for authentication 
Setster,Setster is a simple and intuitive scheduling solution that empowers those in the professional services market to accept appointments online  Embed on your website  blog    even email body    and increase conversions by allowing potential customers to book your time  24 7  No matter the size of your team  Setster s scalable solution allows for complete control of any schedule  on the go  Feature highlights    Sync your activity to existing calendars and access from anywhere   Define appointment availability   Set appointment confirmations  cancellation  and rescheduling notifications   Dashboard analytics  multiple language support  Pay Pal and Freshbooks integration   Custom fields and widgets  timezone conversion  API and developer support The API uses a RESTful interface and responses are in XML format 
SnapAppointments,Snap Appointments is booking service for appointment based businesses  Small and complex businesses can use it to share their calendar availability with potential clients who can book appointments over the Internet  Snap Appointment automates schedules for employees and can send reminders to clients via text  email  or phone  Their RESTful API provides access to both client side booking query functionality as well as business side appointment management 
St. Gregorios Church Calendar RPC API,The St  Gregorios Indian Orthodox Church  based in Maryland  provides its online visitors with access to the Calendar API  This service enables users to calculate the date on which Easter will fall in a given year  This API makes use of SOAP calls issued in XML format 
Time Extractor,Time Extractor API allows the extraction of time and date information from text  This API is able to identify several types of objects such as  absolute dates  relative dates  e g   Monday    yesterday    next month    times  date time intervals  durations  duration intervals and their combinations  recurring dates  and time zones  Time Extractor API can parse plain text or HTML and returns extracted information as JSON structured data 
Timekit,Timekit provides a REST API that works with calendars to provide scheduling  event suggestions  and calendar overlays  This API is consumable by browser clients and servers  as well as supporting origin resource sharing  All requests are in standard HTTP and all responses are in JSON  Authentication is user based and requires a unique password and API token 
Trogsoft Public Holidays,The Trogsoft Public Holidays API allows developers to access and integrate the functionality and data of Trogsoft  The main API method is listing public holidays by year and in customisable date formats  for a variety of regions and countries 
USC Event Calendar,The University of Southern California Events Calendar provides a comprehensive searchable listing of campus events  including music and theater  exhibits  lectures  film  sports  and more  The USC Event Calendar API provides RESTful access to the calendar   s event data  The API supports automated calls to limit events by a variety of fields and data types  as well as searching within fields  The API supports JSON and JSONP formatted responses 
Vodafone Address Book,The Address Book API from Vodafone is part of a suite of Java Script based widget APIs that provide mobile web applications access to the underlying hardware  In the case of the Address Book API  developers can access the contacts and calendar items stored on the phone 
World Holiday Calendar,The World Holiday Calendar API provides developer access to information describing holidays worldwide  The webservice allows applications to search for information using criteria such as holiday  country  date  and more 
Apple Camera,With Apple s Camera API  third party camera apps can have control over exposure  focus  and white balance  This is in addition to the controls they have created 
Eagle Eye CameraManager REST API v2.2,The Eagle Eye Camera Manager REST API allows you to build video surveillance products based on Eagle Eye technology  The Camera Manager supports several platforms for web  Android and i OS  The Eagle Eye Camera Manager application provides a way to view real time videos as well as listen to the camera s audio stream  Eagle Eye Networks provides web and cloud technologies to deploy analytics on one  or multiple  cameras 
Google Open Spherical Camera,The Google Open Spherical Camera API is a proposed set of commands for controlling spherical cameras with built in Wi Fi  This should allow any app developed on any platform with this API to control a connected spherical camera that also implements this API  This documentation is composed of the Open Spherical Camera Manufacturer Guide  which provides API implementation guidance to manufacturers of spherical cameras  and the Open Spherical Camera API Specification  which describes the proposed set of commands for said cameras 
RICOH THETA REST API v2.1,The RICOH THETA API conforms to Open Spherical Camera API Version 2 0  OSC  by Google  Wireless LAN is used for communication between a client and RICOH THETA  That acts as an HTTP server that uses APIs to GET and POST requests  RICOH THETA V is a 360  imaging experience for realistically experiencing all types of spaces  It records and recreates the real world in 360 degrees with high quality images that delivers a three dimensional experience and coloring  The 360  spatial audio also allows you to record sound from all directions  RICOH THETA provides products to realistically record 360  images and audio 
Teleport,Teleport is a Canada based company that provides customers ability to record  view  and edit time lapse videos  and share them as Teleport feeds  The Teleport API lets developers integrate its services with their applications  enabling their customers to create  manage  view  and publish Teleport feeds  This API is REST based  and it returns JSON and XML data types 
TomTom Camera Media Server Native/Browser API v2,The Tom Tom Camera Media Server API is a RESTful platform for accessing the media server functionalities of the Tom Tom Bandit Action Cam  The API is equipped with innovative camera features  such as remote control and low latency viewfinder functionality  that support the performance of different tasks  Its features can be used to tag  download  extract sensor data  and preview video and photo content  Developers must have and turn on the Tom Tom Bandit Wi Fi to be able to deploy this API  Its responses are transmitted in JSON formats 
Unofficial GoPro REST API v3,The Unofficial Go Pro API allows developers to obtain camera parameters such as photo resolution  and battery status  Additionally  it can be used to control  livestream  or obtain data from a Go Pro Wi Fi enabled camera  This REST based API supports JSON for data exchange 
Act-On Email Campaign,The Act On Email Campaign API allows developers to integrate their applications with the API service  enabling their users to reach out to their customers via email campaigns  Act On is a marketing automation software provider 
Adobe Campaign Standards,The Adobe Campaign Standards API allows managing profiles  managing subscriptions to services  sending transactional messages  and accessing customized data models  It is available in REST architecture with JSON format  Access token and API Key are required to authenticate 
Adobe Campaigns REST API v1.3,The Adobe Campaigns API in REST architecture returns marketing campaigns data in JSON format  Usage of the API requires Adobe Cloud subscription for API and SDK access  The API provides methods for automating campaigns as well as GDPR requests  Adobe Campaigns is a platform for delivering email marketing campaigns online and offline 
Amazon Web Services Pinpoint REST API v1.0,The Amazon Web Services Pinpoint REST API supports HAL format to make HTTP requests and JSON format to receive responses  Amazon Pinpoint is a web service campaign management service that provides user behavior and identifies opportunities for user engagement  It uses App ID for authentication via Facebook  Amazon  and Google 
Banckle Campaign,Banckle is a cloud based software company that offers businesses with online customer support services  Banckle Campaign is an email marketing platform available through Banckle  enabling businesses to connect with their customers via campaigning  The Banckle Campaign API lets developers to personalize their customers  experience by integrating it with their applications  enabling them to interact with customers directly from the application  The API allows features such as creating  managing  sending  and tracking emails and newsletter campaigns 
CoSender,The Co Sender API allows developers to access and integrate the functionality of Co Sender with other applications  Public documentation is not available  API access comes with account service  Co Sender is a multi channel campaign manager that offers tools to create and manage email  HTML  and SMS campaigns 
Heyzap Campaigns,The Heyzap Campaigns API integrates ad campaigns into applications  It is available to access via API Key to interact with the endpoint that returns CSV responses  Practical uses of the API include campaign details  statistics  and device IDs 
Klaviyo Campaigns,The Klaviyo Campaigns API integrates email campaign creation and distribution  It is available in REST architecture  to send HTTP requests and receive JSON responses  authenticating with API Key  Use the API to create and send email communication  aiming to monetize campaigns 
Merchenta Pixelling,The Merchenta Pixelling API integrates consumer behavior for campaign targeting purposes  Email address and password are required to authenticate in the given endpoint available on Merchenta site 
Salesforce Commerce Cloud Assignments REST API v1.0,The Salesforce Commerce Cloud Assignments API enables developers to find all promotions associated with a given campaign using RESTful calls This API is currently in beta This API is provided by Salesforce Commerce Cloud  a platform for connecting with shoppers and building e commerce experiences 
Salesforce Commerce Cloud Campaigns REST API v1.0,The Salesforce Commerce Cloud Campaigns API allows developers to create  update  and manage their campaigns using RESTful calls  The API can handle short term promotions  e g  flash sales   long term promotions  e g  coupons   and redirection promotions  e g  all users directed from a given website receive a free item with purchase  This API is currently in beta This API is provided by Salesforce Commerce Cloud  a platform for connecting with shoppers and building e commerce experiences 
TargetEveryOne Analytics and Statistics System RPC API v1.0,The Target EveryOne Analytics and Statistics System module lets you access the statistical data that your campaign generates  Target EveryOne is an all in one digital mobile campaign creation platform to create  design  distribute and analyze mobile campaigns and landing pages   It is an interactive web based content management system to design your digital ads and provides a way to create  distribute and analyze mobile campaigns with a drag and drop online solution 
TargetEveryOne CRM System RPC API v1.0,The CRM System API will handle your contacts in the Target Everyone s system  Target EveryOne is an all in one digital mobile campaign creation platform to create  design  distribute and analyze mobile campaigns and landing pages   It is an interactive web based content management system to design your digital ads and provides a way to create  distribute and analyze mobile campaigns with a drag and drop online solution 
TargetEveryOne Distribution System RPC API,The Target EveryOne Distribution System API allows you to distribute a campaign to one or many contacts via SMS or Email  Target EveryOne is an all in one digital mobile campaign creation platform to create  design  distribute and analyze mobile campaigns and landing pages   It is an interactive web based content management system to design your digital ads and provides a way to create  distribute and analyze mobile campaigns with a drag and drop online solution 
TargetEveryOne Template System RPC API v1.0,The Target EveryOne Template System API allows you to build predefined templates for getting customers to engage with offers that can be an opt in form on your webpage  Target EveryOne is an all in one digital mobile campaign creation platform to create  design  distribute and analyze mobile campaigns and landing pages   It is an interactive web based content management system to design your digital ads and provides a way to create  distribute and analyze mobile campaigns with a drag and drop online solution 
Yandex Post Office,The Yandex Post Office API provides developers access to statistical data on email marketing campaigns sent from addresses that are registered and verified in Postoffice  an email marketing tool  This API is REST based  and service returns data in JSON format  Yandex is an internet company in Europe
Zoho Campaigns,The Zoho Campaigns API supports the execution of online campaigns without log in requirements  The use of API keys eliminates the need for log in credentials  effectively making it easier for users to access and manage campaigns and lists 
2Captcha REST API v2,The 2 Captcha API in REST architecture returns data of human powered image recognition to authorize online users  Starting with an API Key  developers can apply an available algorithm that includes sending an image to a server  obtaining the ID of the picture  beginning the cycle that checks if the CAPTCHA is solved  and confirming if the answer is correct 
Anti Captcha,Anti Captcha is a human powered Captcha solving service  The Anti Captcha API integrates authentication solutions into applications via HTTP POST and API Key  Resources allow to upload captcha   receive ID  request    receive captcha responses 
AZcaptcha,AZcaptcha is a automatic image and CAPTCHA recognition service  AZcaptcha s main purpose is solving your CAPTCHAs in a quick and accurate way by AI employees  but the service is not limited only to CAPTCHA solving  You can convert to text any image that a AI can recognize 
Bypass Captcha Service,The Bypass Capatcha Service API allows users to have submitted images sent back as capatcha text  By using HTTP requests  users receive image id s that correspond with their capacha text which can then be implemented into applications  The API works any major software platforms 
Captcha Bot Detect,Captcha Bot Detect offers integration services to users who work with PHP  ASP NET  and Java  Bot Detect allows various parameters for customizing Captcha design  Examples include Captcha with bubbles  neon  paint mess  radar  and chess images  To learn more about what a website authorization service can do for a project  see the crash course for developers  available at aspx
Captcha Solutions,This RESTful Captcha Solutions API is designed to solve a large variety of a captcha challenges for a broad spectrum of applications  Captcha Solutions is a captcha decoding web service offering solutions based on a flat rate per captcha solved 
Captcha.guru REST API v2,The Captcha guru API provides re CAPTCHA and anti CAPTCHA services  With the API  developers can use an image that contains distorted but human readable text  To solve the captcha  the user has to type the text from the image  The API supports JSON formats  API Keys are required to authenticate Track APIClone version
CAPTCHAs.IO REST API v1.1,The CAPTCHAs IO API provides RESTful access to all of CAPTCHAs io s captcha solving methods  Developers can choose to get API responses in either JSON or plain text  API keys are available with signup  CAPTCHAs IO is an automated captcha recognition services that supports more than 30 000 image captchas and re CAPTCHA v 2 and v 3  including invisible re CAPTCHA 
Captchatronix,Captchatronix aims to solve Re CAPTCHA and over 2 000 Captchas with accuracy  API documentation is available for software and application developers who plan to integrate Capctha features into their services  Implementation can be completed via HTTP POST  Web Form  c URL  PHP  Python  Perl  VB NET  C   C    and i Macros 
HiCaptcha,Hi Captcha is an English language Captcha solving service  Developers integrate the API and submit Captchas to be solved  and Hi Captcha returns the text within 30 seconds  They also offer a profit sharing program for software developers who integrate their service 
ImageDecoders,Image Decoders offers a CAPTCHA bypass service  The service operates through the Image Decoders API  Users pass CAPTCHAs through the API where they are solved by humans  The solved CAPTCHA is then passed back where it can be used 
Key Captcha,The uniqueness of Key Captcha consists in website authorization solving simple puzzles  An example would be assembling a puzzle piece into an apple image that is missing the piece  Key Captcha could benefit developers who prefer to integrate visuals instead of Captcha words  Common CAPTCHA API works with a private API Key and Java Script code 
MTCaptcha REST API v1.0,MTCaptcha offers a GDPR compliant captcha service for enterprise  The REST API enables developers to integrate form validation with their applications  MTCaptcha supports two form factors with different display dimensions  they are both accessibility  VPAT  compliant  with audio captcha  keyboard shortcut keys  and fully tested with screen readers 
ruCaptcha,The ru Captcha API provides automated image recognition services for solving captcha and converting human readable images to text  Captchas and image to text tasks are handled by real people  End users send an image to ru Captcha  receive a unique ID for their task  run a loop that checks whether the task is complete  and then receive the recognition result from the server API documentation is provided in Russian 
Solve Recaptcha REST API v1.0,The Solve Recaptcha API automatically solves Google s recaptcha 2 captchas via data sitekey  The API is fee based depending on the number of threads per month 
Submitia Captcha Solver REST API v2.0,The Submitia Captcha Solver API provides developers access to integrate the Submitia de captcha functionality  Some example API methods include decoding captchas on websites  uploading images  and retrieving decoding token information  Submitia is a de captcha and SEO company 
Versatility Werks,Vers Captcha is a convenient tool that prevents online spam using original captcha icons  It s also a service that prevents bots from visiting web pages  With this features  there will be a noticeable difference in spam reduction  No more unwanted junk e mail  Web designers  webmasters and web developers can benefit from the Vers Captcha API that offers captcha of images  icons and questions  To get the API key  developers need to be signed up in the system  Once they are logged in  they will see how this particular API is about spam prevention for mobile applications  They will be able to download the files in PHP  The main features of Vers Captcha API are security  integration  custom icons custom question and custom CSS  The site updates periodically through social media under the name of Versatility Werks 
eHive,e Hive is an online collection management system used by museums  galleries  and other collecting organizations to manage their collections  The service allows users to create records  search and tag content  and publish records to be shared online  The e Hive API allows users to share information with other websites  applications  and devices  The API is RESTful  uses OAuth 2 0 for authentication  and returns responses as JSON objects 
Essent CompassConnector RPC API,The service provides hosted catalog functionality and transaction processing for turnkey e commerce sites  Integration possibilities include interaction with third party systems business intelligence and analytics services and content websites  It allows creation and management of product records for web display with add to cart and checkout functions to complete sales  process fulfillment orders  perform accounting functions  and related activities  API methods support interaction with the business objects managed by the system  Methods handle creation  updating  and deletion of catalog entries and related functions for managing an online storefront  Methods also support transaction processing as well as reporting on sales and other interactions with the storefront for business analytics and intelligence reviews 
Extensis Portfolio SOAP RPC API v1.0,The Extensis Portfolio SOAP API provides a way for developers to create applications that need to communicate with Portfolio  Server capabilities are exposed through SOAP  and direct HTTP with access to the API using various platforms and programming languages  Some features includes  Add assets to a Portfolio catalog  Retrieve thumbnails  previews  and asset metadata from a catalog  Search for assets based on asset metadata  Convert images and video to multiple formats and more  Extensis builds productivity applications for creative professionals that includes  Suitcase Fusion  Team Sync and Portfolio 
GitHub Issue Labels,The Git Hub Issue Labels API allows developers to integrate the Git Hub labeling service into their applications  enabling functions i e  listing labels for repositories  creating updating deleting single label  and listing adding removing replacing labels for issues  This API requires two factor authentication  Git Hub is one of the software providers that specialize in a wide range of application development 
The Home Depot Catalog,The Home Depot Catalog in REST protocol can be accessed through API Key and token  It offers information associated to catalog items  When users search a specific article  the results will display store locations to show product availability 
Innovative Interfaces: Sierra RPC API,The Sierra API v 2 0 allows developers to create systems in which library patrons can manage and update their accounts and hold requests  v 1 0 of the API only allows patrons to view their account information  Sierra is an integrated library system provided by Innovative Interfaces that combines comprehensive library systems functionality with the scale and power of modern software architecture  The product builds on the company s commitment to open development  and they plan to allow developers to take advantage of real time statistical data with queries that create custom views to the underlying data Track APIClone version
LibraryCloud,Library Cloud is a metadata server that pulls metadata from multiple libraries nationwide and exposes that metadata through APIs and as Linked Open Data  The Library Cloud API provides a RESTful interface for plugging into the power of Library Cloud and exploring the data  The API currently provides access to metadata describing catalog items  Future support is expected for metadata describing events  ratings and reviews  and collections 
Norwegian National Data Catalog REST API v1.0,The national data catalog provides an overview of what data the various public entities have  how they are connected and what they mean  and how to get access to the data  APIs   The data directory enables you to search the information of public enterprises and use them if you have the legal ground 
Nymbol,Nymbol is a content management system for mobile apps that connects digital content with physical objects and places  Nymbol lets you add    objects    to a collection  add text  upload photos and videos and include links and embeddable resources from sites like You Tube and Flickr  The Nymbol RESTful API provides programmatic access to Nymbol s services  Access data and handle user generated content like photos  ratings and comments  Responses are formatted in JSON or XML and an API key is required 
ShepHertz App42 Cloud Catalogue,The Shep Hertz App 42 Cloud Catalogue API allows developers to create full fledged item inventory without any backend setup  to manage catalogue items  and more  Shep Hertz Technologies is a cloud company that specializes in many aspects of data management 
TM Forum Product Catalog Management,The TM Forum Product Catalog Management API allows developers to quickly add a partner s products to an existing catalog  TM Forum is a global member association for digital businesses  They provide a platform on which members from a wide range of industries can create  prototype  deliver  and monetize digital services for their customers 
TM Forum Resource Catalog Management,The TM Forum Resource Catalog Management API allows users to organize the different elements of their catalogues  The API s applicability spans the entire lifecycle of a catalogue for ordering products and managing campaigns or sales as well as any other transactional or organizational activity  The RESTful API is still a beta release  It sends requests in URI Query CRUD format and returns responses in JSON format 
TM Forum Service Catalog REST API v2,The TM Forum Service Catalog API allows users to manage the whole lifecycle of the different elements associated with a service catalog  It supports the consultation of catalog elements during ordering  sales  and campaign management processes  The RESTful API sends requests in URI Query String CRUD format and returns responses in JSON format  It is currently a beta release 
World Bank Data Catalog,The World Bank offers the Data Catalog API that helps developers to access specific lists of data related to economy coverage  topics and periodicity  The main value for developers could be the integration of pertinent information in their own web applications  Data Catalog API is about access to lists of data  In the site  developers can access basic REST requests that support XML and JSON formats  Some of the parameters include source  metatype and search  Users will find samples and support 
Briibe,Briibe is a non profit organization that enables users to send messages to Twitter users  namely stars  celebrities  and famous people  to  briibe  them to reply with charity donations  Briibe enables users to crowdfund for good causes  and enables famous individuals to find these messages  The Briibe API is coming soon 
Dexterity GIVE,Dexterity Ventures Inc  offers an API called the DVI GIVE api  It is a free API created for website and application developers  and allows for the facilitation of giving and adding social good into projects  With the Give api  users have the ability to search and access information about charities  such as financial details  locations  types  projects  and other facets  and make donations 
Donately,Donately is a REST API that allows for users to make online donations  Donately API provides a space for non profits to manage their donors and online giving activity  Authentication is through API token and standard HTTP and all responses  including errors  are returned in JSON  The extensive documentation of requests covers information and administrative actions regarding accounts  people  donations  and fundraisers  Donately API is a fee based service that is available for worldwide fundraising transactions 
DoSomething,The Do Something API allows developers to interact with its campaigns for social change programmatically  Campaigns tackle a variety of issues  including poverty  violence  and environmental degradation  Do Something is active globally  but the campaigns are usually local  Do Something provides young people with volunteer opportunities and scholarships 
DVI Give,The DVI Give API facilitates charitable giving by allowing end users to search for and access information about charities from third part applications  Users can even make donations through the API and immediately receive a tax receipt  DVI  Dexterity Ventures Inc   is an organization that provides donation tools for businesses who want to incorporate charitable giving into their products or online presence 
Give Food REST API v1,The Give Food API lists UK foodbanks  their locations  and needs  allowing developers to access data over HTTPS in JSON format Give Food is a UK charity that delivers food to food banks using technology to supply in bulk  the food required in a timely manner Track APIClone version
ImRaising Public,Im Raising is a service for helping users raise stream donations  It allows users to add sounds  widgets  and text files to their streams for free  In the future  a small fee may be implemented  The Im Raising Public API allows users to receive notifications for stream donations  get donation information  get a list of top donors  and send test donations 
JustGiving,Connect with the  1 fundraising platform in the world  Build apps that make a difference to support over 13 000 amazing causes  Grow your audience with Just Giving as 22 million people are ready to use your app 
OrgHunter Charity Financial REST API v1,The Org Hunter Charity Financial API supports POST requests and can be authenticated with Key to receive charity financial data  The API is designed to provide detailed financial information from the charity s latest form 990 
OrgHunter Charity Geolocation REST API v1,The Org Hunter Charity Geolocation API returns JSON data with mapping information on the charity including its current status with the IRS  Developers can integrate a Google maps widget within the application or website 
OrgHunter Charity Premium REST API v1,The Org Hunter Charity Premium API supports POST data to return financial information  financial charts  graphs  and maps  Developers can authenticate with API Key 
OrgHunter Charity,The Org Hunter Charity API is an interface that allows developers to incorporate real time search results directly into applications or websites  The API also aims to provide developers access to over 2 M charities in the Org Hunter database to allow for integration into an application or website  Org Hunter offers a platform that seeks to provide visibility for charities of all sizes and connect them to donors 
PandaPay REST API v1,Panda Pay offers a donation platform that features integrated payment gateway  ACH processing  crowdfunding support  and PCI DSS compliance  The Panda Pay API uses POST for donation objects  customer objects  and grant objects  API Keys are required for authentication  and JSON is used for data exchange  Panda Pay charges 1  of all donations as main fee  Also  2 9    30  per donation for credit and debit transactions  and 25  per donation for ACH transfers  However  discounts are available for high volume platforms  and for public charities using the API 
Pledgeling REST API v1.0,The Pledgeling API allows you to integrate global charity search and donation processing into your online platforms  Pledgeling provides a set of tools and in house expertise to launch  run and maintain a charitable giving program 
Pledgeling Webhooks Streaming API,This Pledgeling API sends Webhook events that notify your application via a POST request to a URL configured in your account  This API supports notifications for whenever a donation is made  for an approved or declined organization and more  The Pledgeling API allows you to integrate global charity search and donation processing into your online platforms  Pledgeling provides a set of tools and in house expertise to launch  run and maintain a charitable giving program 
Spare REST API v1,Spare s API allows people to create their own fundraising application  or embed an opportunity to make a cash transfer to someone living on less than  2 a day into an existing product  Spare manages all the logistics to ensure the donation reaches the intended recipient  Developers can use the REST Spare API  authenticate with OAuth 2  and make calls that will display JSON in return 
VolunteerMatch REST API v2.0,The Volunteer Match API allows developers to integrate the Volunteer Match network into their own websites and applications  It can be used to help developers add volunteer content  search  and registration to their online systems  Volunteer Match helps people find causes that need them  Their database includes more than 100 000 nonprofits located around the world 
AnyChart Indirect API,The Any Chart API is a flexible  cross platform and cross browser HTML 5 Java Script charting library  Any Chart charts can be easily made interactive and built in real time with client side data updates  multi level drill downs and specific parameter updates  The powerful theme engine enables unique presentation experience across your entire set of charts  while PDF and image exporting enable producing printable documents in book quality  Any Chart offers 4 main products   Any Chart JS Charts   interactive HTML 5  basic  JS charts including line  area  gauges  bubble  box plot  error bars  waterfall  polar  and many other chart types   Any Stock Financial and Stock JS Charts   interactive HTML 5 real time stock charts with technical indicators  MACD  ROC  SMA  RSI     which can be used for any date time based graphs   Any Map JS Maps   interactive HTML 5 maps to display sales by region  election results  population density or any other geo related data   Any Gantt JS Gantt Charts   interactive Project  task based   and Schedule  resource based  HTML 5 Gantt charts with configurable timeline  data grid and more 
Barchart OnDemand getChart,Barchart is a provider of futures  equity and foreign exchange market data  The get Chart API is used to request a custom chart image with variables such as chart type  size  period and technical indicators  based on a symbol  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
Barchart OnDemand getMomentum,Barchart On Demand provides data pertaining to the agriculture  media  financial  and energy industries  The get Momentum API provides a daily summary on the number of advancing  declining and unchanged stocks  as well as the percentage of stocks above moving averages of different lengths  All Barchart On Demand APIs allow for queries in JSON  XML  and CSV formats  Developers can visit Bar Chart s site to request permission for API usage 
